Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,17924.240234,18002.380859,17916.910156,17949.369141,82160000,17949.369141
2016-06-30,17712.759766,17930.609375,17711.800781,17929.990234,133030000,17929.990234
2016-06-29,17456.019531,17704.509766,17456.019531,17694.679688,106380000,17694.679688
2016-06-28,17190.509766,17409.720703,17190.509766,17409.720703,112190000,17409.720703
2016-06-27,17355.210938,17355.210938,17063.080078,17140.240234,138740000,17140.240234
2016-06-24,17946.630859,17946.630859,17356.339844,17400.75,239000000,17400.75
2016-06-23,17844.109375,18011.070312,17844.109375,18011.070312,98070000,18011.070312
2016-06-22,17832.669922,17920.160156,17770.359375,17780.830078,89440000,17780.830078
2016-06-21,17827.330078,17877.839844,17799.800781,17829.730469,85130000,17829.730469
2016-06-20,17736.869141,17946.359375,17736.869141,17804.869141,99380000,17804.869141
2016-06-17,17733.439453,17733.439453,17602.779297,17675.160156,248680000,17675.160156
2016-06-16,17602.230469,17754.910156,17471.289062,17733.099609,91950000,17733.099609
2016-06-15,17703.650391,17762.960938,17629.009766,17640.169922,94130000,17640.169922
2016-06-14,17710.769531,17733.919922,17595.789062,17674.820312,93740000,17674.820312
2016-06-13,17830.50,17893.279297,17731.349609,17732.480469,101690000,17732.480469
2016-06-10,17938.820312,17938.820312,17812.339844,17865.339844,90540000,17865.339844
2016-06-09,17969.980469,18005.220703,17915.880859,17985.189453,69690000,17985.189453
2016-06-08,17931.910156,18016.00,17931.910156,18005.050781,71260000,18005.050781
2016-06-07,17936.220703,18003.230469,17936.220703,17938.279297,78750000,17938.279297
2016-06-06,17825.689453,17949.679688,17822.810547,17920.330078,71870000,17920.330078
2016-06-03,17799.800781,17833.169922,17689.679688,17807.060547,82270000,17807.060547
2016-06-02,17789.050781,17838.560547,17703.550781,17838.560547,75560000,17838.560547
2016-06-01,17754.550781,17809.179688,17664.789062,17789.669922,78530000,17789.669922
2016-05-31,17891.50,17899.240234,17724.029297,17787.199219,147390000,17787.199219
2016-05-27,17826.849609,17873.220703,17824.730469,17873.220703,73190000,17873.220703
2016-05-26,17859.519531,17888.660156,17803.820312,17828.289062,68940000,17828.289062
2016-05-25,17735.089844,17891.710938,17735.089844,17851.509766,79180000,17851.509766
2016-05-24,17525.189453,17742.589844,17525.189453,17706.050781,86480000,17706.050781
2016-05-23,17507.039062,17550.699219,17480.050781,17492.929688,87790000,17492.929688
2016-05-20,17437.320312,17571.75,17437.320312,17500.939453,111990000,17500.939453
2016-05-19,17514.160156,17514.160156,17331.070312,17435.400391,95530000,17435.400391
2016-05-18,17501.279297,17636.220703,17418.210938,17526.619141,79120000,17526.619141
2016-05-17,17701.460938,17701.460938,17469.919922,17529.980469,103260000,17529.980469
2016-05-16,17531.759766,17755.800781,17531.759766,17710.710938,88440000,17710.710938
2016-05-13,17711.119141,17734.740234,17512.480469,17535.320312,86640000,17535.320312
2016-05-12,17711.119141,17798.189453,17625.380859,17720.50,88560000,17720.50
2016-05-11,17919.029297,17919.029297,17711.050781,17711.119141,87390000,17711.119141
